LEARNING_RATE,WEIGHT_DECAY,ADAM_EPSILON,CLASS_WEIGHTS,NUM_EPOCHS,Val score
5.00E-05,0.01,1.00E-08,None,7,0.500577084
5.00E-05,0.1,1.00E-08,None,5,0.48669264
5.00E-05,0.01,1.00E-08,None,3,0.477863511
