param_nb__alpha,param_nb__fit_prior,param_vecto__max_features,param_vecto__min_df,param_vecto__ngram_range,val_score
0.001,True,,10,"(1, 2)",0.40747474005017426
0.001,True,60000,10,"(1, 2)",0.40747474005017426
0.01,True,,10,"(1, 1)",0.4072982816042589
0.01,True,30000,10,"(1, 1)",0.4072982816042589
0.01,True,60000,10,"(1, 1)",0.4072982816042589
0.001,False,,1,"(1, 1)",0.40567243650611434
0.1,True,30000,10,"(1, 1)",0.4051952466329605
0.1,True,60000,10,"(1, 1)",0.4051952466329605
0.1,True,,10,"(1, 1)",0.4051952466329605
0.01,False,60000,2,"(1, 1)",0.4048219569683726
0.01,False,,2,"(1, 1)",0.4048219569683726
0.01,False,30000,1,"(1, 1)",0.40456827767723924
0.01,False,30000,2,"(1, 1)",0.40445008471065336
0.001,False,60000,1,"(1, 1)",0.40433679462504635
0.1,True,60000,1,"(1, 1)",0.4039041239153906
0.001,False,60000,2,"(1, 1)",0.4021555456608613
0.001,False,,2,"(1, 1)",0.4021555456608613
0.001,False,30000,1,"(1, 1)",0.4021403228722755
0.05,False,,10,"(1, 2)",0.40199077803920635
0.05,False,30000,10,"(1, 2)",0.40199077803920635
0.05,False,60000,10,"(1, 2)",0.40199077803920635
0.001,False,30000,2,"(1, 1)",0.4013401354224087
0.1,True,,1,"(1, 1)",0.39967467512264787
0.01,False,,10,"(1, 2)",0.39740151261595874
0.01,False,30000,10,"(1, 2)",0.39740151261595874
0.01,False,60000,10,"(1, 2)",0.39740151261595874
0.001,True,30000,10,"(1, 1)",0.3960058158826753
0.001,True,,10,"(1, 1)",0.3960058158826753
0.001,True,60000,10,"(1, 1)",0.3960058158826753
0.001,False,,10,"(1, 2)",0.39317547697949345
0.001,False,30000,10,"(1, 2)",0.39317547697949345
0.001,False,60000,10,"(1, 2)",0.39317547697949345
0.1,False,30000,10,"(1, 1)",0.3926635750618037
0.1,False,,10,"(1, 1)",0.3926635750618037
0.1,False,60000,10,"(1, 1)",0.3926635750618037
1,False,30000,2,"(1, 2)",0.3908837031310141
1,False,30000,1,"(1, 2)",0.3906667480841956
0.05,False,,10,"(1, 1)",0.3857312979517481
0.05,False,30000,10,"(1, 1)",0.3857312979517481
0.05,False,60000,10,"(1, 1)",0.3857312979517481
1,False,60000,1,"(1, 2)",0.3855427806272659
1,False,60000,10,"(1, 2)",0.38427638032396394
1,False,,10,"(1, 2)",0.38427638032396394
1,False,30000,10,"(1, 2)",0.38427638032396394
1,False,,2,"(1, 2)",0.38349693460407724
0.01,False,30000,10,"(1, 1)",0.38328043607701245
0.01,False,,10,"(1, 1)",0.38328043607701245
0.01,False,60000,10,"(1, 1)",0.38328043607701245
1,False,60000,2,"(1, 2)",0.3832313580863871
1,False,,10,"(1, 1)",0.3811768110651429
1,False,60000,10,"(1, 1)",0.3811768110651429
1,False,30000,10,"(1, 1)",0.3811768110651429
0.001,False,60000,10,"(1, 1)",0.37559963079971526
0.001,False,30000,10,"(1, 1)",0.37559963079971526
0.001,False,,10,"(1, 1)",0.37559963079971526
1,False,60000,2,"(1, 1)",0.36992527980651624
1,False,,2,"(1, 1)",0.36992527980651624
1,False,30000,1,"(1, 1)",0.3695278362521253
1,False,30000,2,"(1, 1)",0.36925622154031934
1,True,,10,"(1, 2)",0.36296223268110517
1,True,30000,10,"(1, 2)",0.36296223268110517
1,True,60000,10,"(1, 2)",0.36296223268110517
1,True,30000,1,"(1, 2)",0.358889845330796
1,True,30000,2,"(1, 2)",0.3582893707399912
1,True,30000,10,"(1, 1)",0.3581721506212025
1,True,60000,10,"(1, 1)",0.3581721506212025
1,True,,10,"(1, 1)",0.3581721506212025
1,False,,1,"(1, 2)",0.35714267316486453
1,False,60000,1,"(1, 1)",0.35070919746058626
1,True,60000,1,"(1, 2)",0.34993560617529856
1,True,60000,2,"(1, 2)",0.34862958726512255
1,False,,1,"(1, 1)",0.3433889024230799
1,True,,2,"(1, 2)",0.3388589354590278
1,True,30000,2,"(1, 1)",0.3265969219869783
1,True,30000,1,"(1, 1)",0.32658690858805656
1,True,60000,2,"(1, 1)",0.32518882291359874
1,True,,2,"(1, 1)",0.32518882291359874
1,True,,1,"(1, 2)",0.3072999308083864
1,True,60000,1,"(1, 1)",0.29618677648698405
1,True,,1,"(1, 1)",0.2895760953972213
