Vectorizer,Min_df,Max_df,Ngram_range,Max_features,alpha_omega,alpha_pi,alhpa_Theta,alpha_Xi,D_in_max,psi_dist,alpha_psi,D_out_max,phi_dist,alpha_phi,method_iteration_0,num_iterations,Metric,MLE_metric,MAP_metric
tfidf,2,0.5,"(1, 2)",None,0.035,0,1,1,10,additive_smoothing,0.1,200,zero_truncated_power_law,2,near,6,f1_macro,0.5477849536172175,0.5344932807637236
tfidf,2,0.5,"(1, 2)",None,0.035,0,1,1,10,additive_smoothing,0.1,200,zero_truncated_power_law,2,near,6,f1_macro,0.5477849536172175,0.5344932807637236
